Genotype,Bacteria,Time,Date
N2,OP50,1.7,2022-10-04
N2,OP50,2.6,2022-10-04
N2,OP50,5,2022-10-04
N2,OP50,3.3,2022-10-04
N2,OP50,7.8,2022-10-04
N2,OP50,4,2022-10-04
N2,OP50,4.2,2022-10-04
N2,OP50,7.1,2022-10-04
N2,OP50,2.1,2022-10-04
N2,OP50,4.4,2022-10-04
N2,OP50,2.8,2022-10-04
N2,OP50,5.7,2022-10-04
N2,OP50,5.7,2022-10-04
N2,OP50,8,2022-10-04
cest-2.1,OP50,4.2,2022-10-04
cest-2.1,OP50,6.4,2022-10-04
cest-2.1,OP50,2.1,2022-10-04
cest-2.1,OP50,5.2,2022-10-04
cest-2.1,OP50,7.9,2022-10-04
cest-2.1,OP50,6.7,2022-10-04
cest-2.1,OP50,3.6,2022-10-04
cest-2.1,OP50,3.3,2022-10-04
cest-2.1,OP50,2.9,2022-10-04
cest-2.1,OP50,2.9,2022-10-04
cest-2.1,OP50,4.2,2022-10-04
cest-2.1,OP50,6.1,2022-10-04
cest-2.1,OP50,5.6,2022-10-04
cest-2.1,OP50,4,2022-10-04
cest-2.1,OP50,4.6,2022-10-04
cest-2.1,OP50,4.1,2022-10-04
N2,JUb39,4.2,2022-10-04
N2,JUb39,6.9,2022-10-04
N2,JUb39,6.9,2022-10-04
N2,JUb39,7.3,2022-10-04
N2,JUb39,5.2,2022-10-04
N2,JUb39,5.8,2022-10-04
N2,JUb39,11.7,2022-10-04
N2,JUb39,16.3,2022-10-04
N2,JUb39,5,2022-10-04
N2,JUb39,10.6,2022-10-04
N2,JUb39,3.5,2022-10-04
N2,JUb39,4.9,2022-10-04
cest-2.1,JUb39,2.8,2022-10-04
cest-2.1,JUb39,7.8,2022-10-04
cest-2.1,JUb39,7.3,2022-10-04
cest-2.1,JUb39,3.8,2022-10-04
cest-2.1,JUb39,2.9,2022-10-04
cest-2.1,JUb39,11,2022-10-04
cest-2.1,JUb39,2.7,2022-10-04
cest-2.1,JUb39,5.1,2022-10-04
cest-2.1,JUb39,4.9,2022-10-04
cest-2.1,JUb39,3.6,2022-10-04
cest-2.1,JUb39,7.2,2022-10-04
cest-2.1,JUb39,9.2,2022-10-04
cest-2.1,JUb39,4.6,2022-10-04
cest-2.1,JUb39,14.1,2022-10-04
