Genotype,Bacteria,Time,Date
N2,OP50,2.39,2022-09-06
N2,OP50,3.44,2022-09-06
N2,OP50,4.48,2022-09-06
N2,OP50,3.23,2022-09-06
N2,OP50,2.38,2022-09-06
N2,OP50,2.18,2022-09-06
N2,OP50,2.71,2022-09-06
N2,OP50,13.54,2022-09-06
N2,OP50,2.68,2022-09-06
N2,OP50,1.68,2022-09-06
N2,OP50,2.93,2022-09-06
N2,OP50,3.13,2022-09-06
N2,OP50,2.14,2022-09-06
N2,OP50,5.99,2022-09-06
N2,OP50,10.41,2022-09-06
N2,OP50,4.13,2022-09-06
cest-2.1,OP50,3.31,2022-09-06
cest-2.1,OP50,2.56,2022-09-06
cest-2.1,OP50,3.61,2022-09-06
cest-2.1,OP50,3.11,2022-09-06
cest-2.1,OP50,6.64,2022-09-06
cest-2.1,OP50,18.58,2022-09-06
cest-2.1,OP50,9.94,2022-09-06
cest-2.1,OP50,9.71,2022-09-06
cest-2.1,OP50,2.84,2022-09-06
cest-2.1,OP50,11.66,2022-09-06
cest-2.1,OP50,9.13,2022-09-06
N2,JUb39,2.58,2022-09-06
N2,JUb39,3.44,2022-09-06
N2,JUb39,3.44,2022-09-06
N2,JUb39,6.44,2022-09-06
N2,JUb39,3.21,2022-09-06
N2,JUb39,2.41,2022-09-06
N2,JUb39,5.51,2022-09-06
N2,JUb39,3.28,2022-09-06
N2,JUb39,2.96,2022-09-06
N2,JUb39,2.06,2022-09-06
N2,JUb39,2.69,2022-09-06
N2,JUb39,4.83,2022-09-06
N2,JUb39,3.83,2022-09-06
N2,JUb39,1.48,2022-09-06
N2,JUb39,1.76,2022-09-06
N2,JUb39,3.11,2022-09-06
N2,JUb39,10.11,2022-09-06
cest-2.1,JUb39,2.26,2022-09-06
cest-2.1,JUb39,3.16,2022-09-06
cest-2.1,JUb39,3.06,2022-09-06
cest-2.1,JUb39,2.29,2022-09-06
cest-2.1,JUb39,6.94,2022-09-06
cest-2.1,JUb39,2.39,2022-09-06
cest-2.1,JUb39,4.94,2022-09-06
cest-2.1,JUb39,16.88,2022-09-06
cest-2.1,JUb39,2.54,2022-09-06
cest-2.1,JUb39,3.94,2022-09-06
cest-2.1,JUb39,2.84,2022-09-06
cest-2.1,JUb39,3.59,2022-09-06
